Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
I Need You,I Need You,2001-01-30,['LeAnn Rimes'],"country dawn, contemporary country, country road, country",2000,44,229826,62,0.02,0.478,0.736,9.58e-05,0.118,-7.124,0.0367,144.705,0.564,7,1,4
Sweet Lady,Tyrese,1998-08-31,['Tyrese'],"hip pop, contemporary r&b, urban contemporary, r&b",1999,43,290600,63,0.233,0.588,0.522,0.0,0.24,-6.254,0.0383,66.024,0.584,9,0,4
You Take My Breath Away - Mono Version,Sooner or Later,,['Rex Smith'],bubblegum pop,1979,86,197453,49,0.476,0.313,0.6,2.56e-05,0.523,-7.913,0.0357,141.912,0.272,11,1,4
If I Give My Heart to You (with The Mellomen),Golden Girl (The Columbia Recordings 1944-1966),,"['Doris Day', 'The Mellomen']","adult standards, easy listening, movie tunes, vocal jazz, lounge",1954,20,169066,43,0.973,0.503,0.059,0.0,0.103,-16.131,0.0497,76.642,0.331,9,1,4
Don't Forget About Us (As Made Famous By Mariah Carey),Drew's Famous # 1 Karaoke Hits: Sing the Hits of 2006,2011-08-16,['The Karaoke Crew'],karaoke,2006,50,251013,0,0.0149,0.843,0.348,0.00128,0.247,-10.669,0.0545,143.595,0.385,7,0,4
Always,Cross Road,1994-10-18,['Bon Jovi'],"glam metal, rock",1995,17,353026,77,0.117,0.383,0.659,0.0,0.0778,-5.558,0.0312,140.795,0.327,4,1,4
I Saw Red,Cherry Pie (Expanded Edition),1990-05-01,['Warrant'],"glam metal, album rock, hard rock",1991,96,226920,45,0.269,0.495,0.677,0.0,0.381,-6.139,0.0271,84.879,0.437,4,0,4
Hands Clean,Under Rug Swept,2002-02-25,['Alanis Morissette'],"canadian singer-songwriter, neo mellow, lilith, singer-songwriter, canadian pop, pop rock",2002,95,269400,61,0.00192,0.513,0.82,2.83e-06,0.504,-5.428,0.0299,99.952,0.52,7,1,4
Here (In Your Arms),Zombies! Aliens! Vampires! Dinosaurs!,2006-08-08,['Hellogoodbye'],"pop punk, neon pop punk",2007,81,240546,60,0.197,0.7,0.607,0.00173,0.272,-6.804,0.0359,126.045,0.774,5,1,4
One More Try - Remastered,Faith,1987-10-30,['George Michael'],new wave pop,1988,11,350666,59,0.434,0.551,0.291,3.78e-05,0.11,-12.544,0.0283,119.005,0.0823,5,1,3
Back To December,Speak Now,2010-10-25,['Taylor Swift'],pop,2011,74,293026,73,0.117,0.529,0.67,0.0,0.334,-4.663,0.0303,141.893,0.286,2,1,4
Fast Car,Tracy Chapman,1988-04-05,['Tracy Chapman'],"lilith, ""womens music"", singer-songwriter, folk",1988,76,296800,81,0.313,0.711,0.292,0.0,0.131,-15.523,0.037,103.951,0.194,4,0,4
Throwing It All Away - 2007 Remaster,Invisible Touch,1986-06-09,['Genesis'],"art rock, hard rock, rock, progressive rock, album rock, soft rock, mellow gold, symphonic rock, classic rock",1986,84,229560,58,0.144,0.377,0.606,0.00877,0.0879,-7.409,0.0262,83.972,0.291,6,1,4
Hurt,The Best Of Timi Yuro,1992-01-01,['Timi Yuro'],northern soul,1961,48,148466,43,0.707,0.493,0.244,0.000462,0.121,-11.487,0.0277,87.044,0.222,5,1,3
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),Puttin' On The Style,,['Lonnie Donegan'],"music hall, skiffle",1961,79,151693,28,0.619,0.698,0.806,0.0,0.9,-8.681,0.104,113.811,0.934,7,1,4
